DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1000.00,4.62,10.82,2.93,51.77,8.26,2.95,0.02
1000.50,4.29,11.34,2.94,51.98,8.22,3.10,0.02
1001.00,4.14,11.72,2.93,52.10,8.20,3.18,0.02
1001.50,4.03,13.02,2.91,52.13,8.20,3.20,0.02
1002.00,3.94,12.72,2.88,52.07,8.19,3.16,0.02
1002.50,3.84,12.60,2.87,51.95,8.19,3.07,0.02
1003.00,3.84,15.86,2.87,51.77,8.19,2.95,0.03
1003.50,4.07,19.69,2.87,51.61,8.19,2.84,0.04
1004.00,4.51,21.08,2.88,51.51,8.19,2.77,0.05
1004.50,4.94,22.90,2.89,51.50,8.20,2.76,0.05
1005.00,5.22,23.22,2.89,51.54,8.20,2.79,0.05
1005.50,5.30,23.59,2.89,51.58,8.21,2.82,0.05
1006.00,5.24,24.20,2.88,51.60,8.22,2.83,0.05
1006.50,5.04,24.29,2.88,51.61,8.22,2.84,0.05
1007.00,5.01,24.07,2.87,51.63,8.23,2.85,0.05
1007.50,5.61,22.40,2.87,51.66,8.25,2.87,0.05
1008.00,6.85,22.55,2.86,51.71,8.25,2.90,0.05
1008.50,8.14,21.67,2.84,51.80,8.25,2.97,0.05
1009.00,9.08,19.90,2.84,51.95,8.26,3.07,0.04
1009.50,9.82,20.37,2.86,52.10,8.27,3.18,0.04
1010.00,10.65,21.68,2.89,52.23,8.28,3.27,0.05
1010.50,11.73,20.85,2.91,52.36,8.31,3.36,0.04
1011.00,12.78,23.06,2.89,52.59,8.33,3.53,0.05
1011.50,13.27,25.39,2.83,53.11,8.34,3.90,0.06
1012.00,13.29,27.01,2.75,54.15,8.34,4.63,0.06
1012.50,13.33,36.46,2.71,55.62,8.34,5.67,0.09
1013.00,13.47,45.51,2.73,56.98,8.36,6.64,0.12
1013.50,13.39,41.72,2.79,57.61,8.38,7.08,0.11
1014.00,12.79,32.55,2.84,57.35,8.43,6.89,0.08
1014.50,12.69,21.65,2.84,56.62,8.52,6.38,0.05
1015.00,14.58,15.70,2.79,56.23,8.63,6.10,0.03
1015.50,18.53,16.10,2.71,57.15,8.73,6.75,0.03
1016.00,22.76,23.10,2.62,60.42,8.83,9.07,0.05
1016.50,25.00,37.54,2.55,66.90,8.96,13.65,0.09
1017.00,25.53,55.36,2.50,76.31,9.09,20.30,0.15
1017.50,24.51,71.29,2.47,86.56,9.25,27.56,0.19
1018.00,22.37,70.49,2.44,94.90,9.45,33.45,0.19
1018.50,21.58,68.33,2.42,99.91,9.79,36.99,0.18
1019.00,22.77,68.26,2.41,102.01,10.07,38.48,0.18
1019.50,25.59,62.80,2.42,102.67,10.13,38.95,0.17
1020.00,29.35,55.52,2.44,103.32,10.11,39.40,0.15
1020.50,30.98,53.67,2.45,104.53,10.00,40.26,0.14
1021.00,28.84,58.68,2.45,106.40,9.99,41.58,0.16
1021.50,25.59,63.00,2.44,109.14,10.20,43.52,0.17
1022.00,23.03,63.58,2.42,112.51,10.33,45.91,0.17
1022.50,21.05,63.07,2.38,115.27,10.46,47.86,0.17
1023.00,20.92,72.15,2.36,116.32,10.49,48.60,0.20
1023.50,23.22,75.70,2.35,115.83,10.45,48.26,0.21
1024.00,25.47,71.84,2.37,115.21,10.08,47.81,0.19
1024.50,25.48,70.64,2.40,115.62,9.60,48.11,0.19
1025.00,24.08,76.62,2.42,116.52,9.55,48.74,0.21
1025.50,23.73,77.08,2.43,116.20,9.54,48.52,0.21
1026.00,25.57,74.39,2.42,113.89,9.54,46.88,0.20
1026.50,28.49,68.76,2.38,110.28,9.55,44.33,0.19
1027.00,29.88,70.09,2.34,107.06,9.56,42.05,0.19
1027.50,28.48,79.42,2.33,106.01,9.58,41.31,0.22
1028.00,26.79,92.77,2.34,107.20,9.58,42.15,0.26
1028.50,27.84,95.49,2.37,108.93,9.57,43.37,0.26
1029.00,31.20,93.09,2.38,110.09,9.58,44.19,0.26
1029.50,33.86,91.43,2.37,111.25,9.60,45.01,0.25
1030.00,32.89,96.12,2.38,113.07,9.61,46.30,0.27
1030.50,29.04,99.81,2.40,115.23,9.56,47.83,0.28
1031.00,25.83,88.36,2.42,116.59,9.42,48.79,0.24
1031.50,25.49,80.81,2.43,116.19,9.35,48.51,0.22
1032.00,27.59,72.68,2.44,114.17,9.34,47.08,0.20
1032.50,29.90,72.62,2.44,111.45,9.34,45.16,0.20
1033.00,30.65,72.62,2.44,108.77,9.35,43.26,0.20
1033.50,28.92,69.80,2.44,107.23,9.37,42.17,0.19
1034.00,26.17,68.68,2.44,108.61,9.42,43.14,0.19
1034.50,25.64,76.90,2.43,113.62,9.45,46.69,0.21
1035.00,28.01,79.93,2.42,120.15,9.46,51.31,0.22
1035.50,31.24,76.77,2.42,124.35,9.46,54.28,0.21
1036.00,33.80,79.23,2.42,123.89,9.45,53.96,0.22
1036.50,35.17,84.50,2.43,119.71,9.45,50.99,0.23
1037.00,35.29,83.03,2.43,114.51,9.46,47.32,0.23
1037.50,33.26,79.61,2.43,111.25,9.48,45.01,0.22
1038.00,29.42,82.03,2.42,112.16,9.50,45.65,0.22
1038.50,26.47,92.03,2.42,116.87,9.52,48.99,0.25
1039.00,26.58,94.27,2.40,121.80,9.54,52.47,0.26
1039.50,28.85,84.76,2.39,123.73,9.55,53.84,0.23
1040.00,29.83,83.80,2.38,123.16,9.59,53.44,0.23
1040.50,28.77,86.24,2.37,122.64,9.62,53.07,0.24
1041.00,26.56,88.39,2.37,123.59,9.62,53.74,0.24
1041.50,24.65,92.51,2.37,125.47,9.63,55.07,0.26
1042.00,24.42,94.22,2.36,126.80,9.63,56.01,0.26
1042.50,26.91,96.98,2.35,126.62,9.59,55.88,0.27
1043.00,31.99,91.45,2.35,124.81,9.55,54.61,0.25
1043.50,34.49,88.94,2.37,121.74,9.55,52.43,0.25
1044.00,31.57,85.75,2.39,118.37,9.55,50.05,0.24
1044.50,28.81,78.20,2.41,115.68,9.55,48.15,0.21
1045.00,27.99,72.18,2.40,113.76,9.55,46.79,0.20
1045.50,27.40,70.48,2.38,112.64,9.56,46.00,0.19
1046.00,28.20,74.50,2.35,112.98,9.60,46.23,0.20
1046.50,29.95,80.25,2.35,115.02,9.64,47.68,0.22
1047.00,30.48,90.20,2.36,117.75,9.69,49.61,0.25
1047.50,31.09,93.21,2.39,119.77,9.74,51.04,0.26
1048.00,33.04,89.75,2.43,120.88,9.80,51.82,0.25
1048.50,34.11,96.36,2.46,121.65,9.87,52.37,0.27
1049.00,34.31,97.72,2.48,121.89,9.88,52.54,0.27
1049.50,34.50,91.79,2.46,121.14,9.88,52.01,0.25
1050.00,33.67,86.73,2.43,119.89,9.88,51.12,0.24
1050.50,32.58,79.56,2.40,118.91,9.88,50.43,0.22
1051.00,32.13,80.23,2.39,118.11,9.82,49.86,0.22
1051.50,31.20,81.98,2.39,116.78,9.76,48.93,0.22
1052.00,31.38,82.82,2.38,115.39,9.75,47.94,0.23
1052.50,33.68,83.54,2.37,115.85,9.74,48.27,0.23
1053.00,34.45,94.06,2.37,119.12,9.75,50.58,0.26
1053.50,33.76,99.23,2.39,122.92,9.74,53.27,0.28
1054.00,34.91,89.52,2.41,123.45,9.73,53.64,0.25
1054.50,37.22,78.07,2.43,119.13,9.70,50.59,0.21
1055.00,38.13,74.76,2.43,112.07,9.69,45.59,0.20
1055.50,36.17,77.36,2.44,105.53,9.69,40.97,0.21
1056.00,31.90,76.39,2.45,100.92,9.66,37.71,0.21
1056.50,27.12,75.56,2.47,97.76,9.53,35.47,0.21
1057.00,23.21,75.56,2.46,95.08,9.49,33.58,0.21
1057.50,21.21,74.95,2.46,92.41,9.49,31.69,0.20
1058.00,21.56,72.60,2.46,89.79,9.49,29.84,0.20
1058.50,23.43,69.92,2.47,87.49,9.49,28.21,0.19
1059.00,24.18,60.78,2.48,85.82,9.49,27.03,0.16
1059.50,21.86,51.70,2.48,85.24,9.49,26.62,0.14
1060.00,18.68,58.49,2.47,86.39,9.51,27.44,0.16
1060.50,17.63,74.94,2.44,89.60,9.57,29.70,0.20
1061.00,19.29,81.76,2.43,94.30,9.60,33.03,0.22
1061.50,22.68,82.63,2.42,99.09,9.60,36.41,0.23
1062.00,25.18,92.63,2.44,102.34,9.60,38.71,0.26
1062.50,24.69,89.55,2.46,103.10,9.60,39.25,0.25
1063.00,22.84,80.56,2.47,101.59,9.60,38.18,0.22
1063.50,22.38,76.66,2.47,98.87,9.61,36.26,0.21
1064.00,23.76,73.51,2.45,96.11,9.62,34.30,0.20
1064.50,25.60,76.40,2.44,94.13,9.65,32.91,0.21
1065.00,26.25,77.60,2.43,93.43,9.68,32.41,0.21
1065.50,25.85,75.61,2.42,94.09,9.71,32.88,0.21
1066.00,25.97,71.82,2.42,95.83,9.76,34.11,0.19
1066.50,26.81,77.35,2.42,98.16,9.79,35.76,0.21
1067.00,27.29,83.05,2.43,100.51,9.80,37.42,0.23
1067.50,26.81,84.07,2.45,102.47,9.81,38.80,0.23
1068.00,25.86,87.27,2.47,104.12,9.83,39.97,0.24
1068.50,24.49,81.70,2.48,105.64,9.83,41.05,0.22
1069.00,23.80,74.49,2.49,106.39,9.85,41.58,0.20
1069.50,25.06,70.13,2.51,105.35,9.86,40.84,0.19
1070.00,28.45,70.48,2.50,102.57,9.86,38.87,0.19
1070.50,33.80,71.96,2.48,100.05,9.86,37.10,0.20
1071.00,37.65,79.19,2.44,100.08,9.88,37.11,0.22
1071.50,36.17,84.49,2.41,102.42,9.92,38.77,0.23
1072.00,31.98,79.32,2.40,104.39,9.93,40.16,0.22
1072.50,31.19,74.77,2.40,104.19,9.95,40.02,0.20
1073.00,33.58,76.47,2.40,102.68,10.04,38.96,0.21
1073.50,34.47,73.89,2.41,101.71,10.13,38.27,0.20
1074.00,33.06,70.77,2.40,101.94,10.24,38.43,0.19
1074.50,33.84,71.72,2.41,102.68,10.29,38.96,0.19
1075.00,37.53,67.50,2.45,103.20,10.24,39.32,0.18
1075.50,38.30,64.57,2.50,103.36,10.00,39.43,0.17
1076.00,34.77,61.04,2.53,102.65,9.74,38.93,0.16
1076.50,31.20,57.67,2.51,100.52,9.66,37.43,0.15
1077.00,30.01,58.15,2.46,98.21,9.70,35.79,0.15
1077.50,30.19,61.95,2.41,98.18,9.78,35.77,0.17
1078.00,28.28,74.21,2.38,101.46,9.82,38.09,0.20
1078.50,24.79,86.87,2.35,106.87,9.83,41.92,0.24
1079.00,23.04,89.02,2.34,112.17,9.83,45.66,0.25
1079.50,23.68,88.68,2.34,115.47,9.83,48.00,0.24
1080.00,26.18,88.04,2.36,116.61,9.83,48.81,0.24
1080.50,30.31,89.88,2.37,116.86,9.83,48.98,0.25
1081.00,34.79,94.16,2.38,117.24,9.83,49.25,0.26
1081.50,36.80,96.97,2.37,117.60,9.83,49.50,0.27
1082.00,36.57,94.98,2.37,117.08,9.82,49.13,0.26
1082.50,36.18,87.79,2.40,114.99,9.76,47.66,0.24
1083.00,34.18,76.52,2.43,111.38,9.60,45.10,0.21
1083.50,30.00,63.36,2.46,107.02,9.51,42.02,0.17
1084.00,26.25,64.37,2.47,103.17,9.49,39.30,0.17
1084.50,24.32,68.38,2.49,100.88,9.52,37.68,0.18
1085.00,24.50,70.70,2.50,100.25,9.56,37.24,0.19
1085.50,26.95,73.90,2.50,100.75,9.59,37.59,0.20
1086.00,30.58,68.01,2.47,102.07,9.59,38.52,0.18
1086.50,33.83,65.91,2.43,104.22,9.59,40.04,0.18
1087.00,34.92,74.69,2.43,106.88,9.56,41.92,0.20
1087.50,32.02,80.87,2.46,109.00,9.50,43.42,0.22
1088.00,27.03,81.02,2.48,109.46,9.47,43.75,0.22
1088.50,23.64,80.21,2.48,108.11,9.46,42.80,0.22
1089.00,24.42,81.90,2.47,105.87,9.46,41.21,0.22
1089.50,27.99,83.40,2.47,103.81,9.46,39.76,0.23
1090.00,30.39,78.78,2.47,102.68,9.46,38.95,0.22
1090.50,30.54,78.41,2.47,102.83,9.46,39.06,0.21
1091.00,30.00,91.49,2.47,104.27,9.46,40.08,0.25
1091.50,28.93,102.51,2.48,106.67,9.46,41.77,0.29
1092.00,26.54,99.87,2.51,109.58,9.46,43.83,0.28
1092.50,24.46,97.09,2.55,112.76,9.46,46.08,0.27
1093.00,23.98,90.11,2.58,115.72,9.46,48.18,0.25
1093.50,23.74,80.04,2.59,117.16,9.46,49.20,0.22
1094.00,22.77,73.30,2.56,116.20,9.47,48.51,0.20
1094.50,23.74,71.01,2.50,113.90,9.50,46.89,0.19
1095.00,28.13,83.66,2.44,112.09,9.52,45.61,0.23
1095.50,30.24,95.19,2.41,111.48,9.52,45.18,0.26
1096.00,28.34,99.06,2.40,111.72,9.53,45.35,0.27
1096.50,27.18,90.71,2.41,111.87,9.55,45.45,0.25
1097.00,26.17,83.73,2.43,110.97,9.57,44.82,0.23
1097.50,25.17,82.45,2.45,108.97,9.57,43.40,0.23
1098.00,25.81,84.00,2.45,106.75,9.57,41.83,0.23
1098.50,28.00,92.79,2.44,105.34,9.57,40.84,0.26
1099.00,30.90,94.02,2.41,105.44,9.57,40.91,0.26
1099.50,31.86,85.31,2.38,107.05,9.57,42.04,0.23
1100.00,29.45,80.93,2.37,109.09,9.57,43.49,0.22
1100.50,26.40,79.86,2.39,110.03,9.57,44.15,0.22
1101.00,24.05,83.67,2.42,109.49,9.57,43.77,0.23
1101.50,23.62,85.05,2.45,108.38,9.56,42.98,0.23
1102.00,25.63,86.64,2.47,107.07,9.56,42.06,0.24
1102.50,27.48,79.70,2.48,104.89,9.55,40.51,0.22
1103.00,26.80,66.53,2.48,101.67,9.54,38.24,0.18
1103.50,24.39,61.20,2.45,98.88,9.57,36.26,0.16
1104.00,22.72,65.61,2.43,98.28,9.61,35.84,0.18
1104.50,23.27,77.40,2.41,100.02,9.63,37.07,0.21
1105.00,24.16,90.20,2.40,102.43,9.65,38.78,0.25
1105.50,23.94,92.91,2.39,103.91,9.66,39.82,0.26
1106.00,24.73,89.44,2.35,104.52,9.69,40.25,0.25
1106.50,26.56,88.25,2.30,105.28,9.72,40.79,0.24
1107.00,27.56,86.12,2.30,106.46,9.83,41.63,0.24
1107.50,29.11,83.21,2.37,106.90,9.93,41.94,0.23
1108.00,30.66,78.18,2.46,105.09,9.50,40.66,0.21
1108.50,30.15,66.74,2.51,100.78,9.27,37.61,0.18
1109.00,28.34,56.92,2.51,95.56,9.20,33.92,0.15
1109.50,26.87,56.53,2.48,91.87,9.22,31.31,0.15
1110.00,26.69,62.13,2.45,91.14,9.27,30.79,0.17
1110.50,27.38,68.70,2.42,92.94,9.30,32.06,0.19
1111.00,27.94,75.57,2.39,95.98,9.34,34.21,0.21
1111.50,27.52,83.19,2.38,99.29,9.41,36.56,0.23
1112.00,26.29,86.94,2.37,102.56,9.46,38.87,0.24
1112.50,25.58,90.44,2.37,105.75,9.51,41.13,0.25
1113.00,25.80,89.32,2.36,109.25,9.53,43.60,0.25
1113.50,25.81,90.73,2.32,113.69,9.53,46.74,0.25
1114.00,25.88,91.86,2.29,118.94,9.52,50.45,0.25
1114.50,27.97,87.80,2.28,123.66,9.47,53.79,0.24
1115.00,31.78,82.45,2.30,127.10,10.16,56.22,0.23
1115.50,34.56,83.36,2.33,129.92,10.98,58.22,0.23
1116.00,34.49,84.91,2.35,132.86,10.85,60.30,0.23
1116.50,31.62,82.50,2.36,135.46,10.63,62.14,0.23
1117.00,26.93,87.90,2.35,136.18,10.47,62.65,0.24
1117.50,25.31,93.61,2.34,134.08,10.24,61.16,0.26
1118.00,28.69,92.40,2.34,130.44,10.22,58.58,0.26
1118.50,33.34,85.93,2.33,127.49,10.37,56.50,0.24
1119.00,35.74,77.21,2.30,126.00,10.06,55.45,0.21
1119.50,35.85,75.51,2.26,125.63,9.83,55.18,0.21
1120.00,33.61,82.67,2.25,126.70,10.25,55.94,0.23
1120.50,31.37,91.14,2.28,129.34,10.28,57.81,0.25
1121.00,33.59,92.54,2.33,131.75,9.99,59.52,0.26
1121.50,36.92,82.82,2.36,131.83,9.77,59.57,0.23
1122.00,37.71,78.36,2.35,129.94,9.73,58.23,0.21
1122.50,38.52,81.17,2.30,128.25,9.89,57.03,0.22
1123.00,39.56,88.07,2.27,127.66,10.33,56.62,0.24
1123.50,39.18,90.92,2.29,127.15,10.37,56.26,0.25
1124.00,36.20,89.15,2.36,125.15,9.89,54.85,0.25
1124.50,31.52,83.45,2.42,120.56,9.59,51.60,0.23
1125.00,27.89,73.10,2.44,114.19,9.44,47.09,0.20
1125.50,26.22,70.82,2.42,109.09,9.40,43.49,0.19
1126.00,27.51,79.29,2.41,107.34,9.40,42.25,0.22
1126.50,32.38,92.38,2.41,107.81,9.40,42.58,0.26
1127.00,36.63,95.81,2.41,108.28,9.40,42.92,0.27
1127.50,35.55,91.08,2.41,108.08,9.42,42.77,0.25
1128.00,30.63,88.21,2.40,108.13,9.43,42.81,0.24
1128.50,27.39,91.84,2.39,109.64,9.43,43.88,0.25
1129.00,27.78,102.20,2.40,112.65,9.44,46.01,0.28
1129.50,29.41,102.46,2.40,115.53,9.45,48.04,0.28
1130.00,30.20,93.85,2.40,116.89,9.46,49.00,0.26
1130.50,29.04,88.64,2.39,117.02,9.46,49.10,0.24
1131.00,26.50,87.22,2.39,116.76,9.45,48.91,0.24
1131.50,24.59,91.37,2.41,116.19,9.46,48.51,0.25
1132.00,23.99,87.45,2.43,114.81,9.46,47.53,0.24
1132.50,23.72,80.21,2.43,112.46,9.46,45.87,0.22
1133.00,22.84,78.03,2.41,110.11,9.46,44.21,0.21
1133.50,21.89,80.59,2.38,108.78,9.45,43.26,0.22
1134.00,22.61,85.18,2.38,107.87,9.43,42.63,0.23
1134.50,25.81,88.85,2.39,106.42,9.36,41.60,0.24
1135.00,28.26,94.36,2.42,104.62,9.33,40.33,0.26
1135.50,27.59,86.54,2.42,103.26,9.30,39.36,0.24
1136.00,26.47,81.54,2.41,102.87,9.28,39.09,0.22
1136.50,27.38,82.76,2.40,103.68,9.27,39.66,0.23
1137.00,28.66,86.03,2.39,105.62,9.26,41.03,0.24
1137.50,28.28,90.22,2.37,108.25,9.26,42.90,0.25
1138.00,26.42,93.21,2.37,110.85,9.26,44.73,0.26
1138.50,24.73,96.60,2.37,112.55,9.25,45.94,0.27
1139.00,25.58,96.55,2.37,112.83,9.26,46.13,0.27
1139.50,27.79,91.65,2.36,111.77,9.25,45.38,0.25
1140.00,28.32,85.63,2.37,110.02,9.25,44.14,0.24
1140.50,26.86,79.20,2.40,108.30,9.25,42.93,0.22
1141.00,25.85,72.94,2.44,107.11,9.25,42.08,0.20
1141.50,25.74,75.23,2.46,106.69,9.27,41.79,0.20
1142.00,24.41,81.63,2.44,107.08,9.32,42.06,0.22
1142.50,22.38,81.66,2.41,108.02,9.40,42.73,0.22
1143.00,22.25,87.94,2.39,109.20,9.48,43.56,0.24
1143.50,24.12,96.80,2.39,110.50,9.51,44.49,0.27
1144.00,26.86,95.72,2.41,111.56,9.52,45.23,0.27
1144.50,29.75,88.66,2.41,111.80,9.52,45.41,0.24
1145.00,33.04,87.02,2.38,111.93,9.54,45.50,0.24
1145.50,36.08,95.27,2.35,113.35,9.63,46.50,0.26
1146.00,35.07,96.64,2.34,115.59,9.74,48.08,0.27
1146.50,30.85,90.57,2.36,116.71,9.62,48.88,0.25
1147.00,27.88,89.21,2.37,116.57,9.59,48.78,0.25
1147.50,26.18,90.26,2.37,116.91,9.60,49.02,0.25
1148.00,25.21,95.53,2.36,118.69,9.77,50.27,0.26
1148.50,24.47,99.35,2.36,120.97,10.07,51.89,0.28
1149.00,23.68,100.40,2.37,122.07,10.00,52.67,0.28
1149.50,25.95,97.86,2.40,120.93,9.91,51.86,0.27
1150.00,30.84,97.09,2.42,117.72,9.81,49.59,0.27
1150.50,33.54,92.01,2.41,113.79,9.45,46.81,0.25
1151.00,32.90,90.12,2.39,110.77,9.18,44.67,0.25
1151.50,31.62,90.97,2.37,109.36,9.17,43.68,0.25
1152.00,32.56,88.56,2.37,109.07,9.17,43.47,0.24
1152.50,36.83,88.79,2.38,109.08,9.17,43.48,0.24
1153.00,41.05,98.03,2.39,109.02,9.17,43.44,0.27
1153.50,39.79,94.24,2.39,108.79,9.15,43.27,0.26
1154.00,35.95,84.69,2.40,108.25,9.12,42.89,0.23
1154.50,33.17,84.11,2.41,107.47,9.10,42.34,0.23
1155.00,30.52,84.18,2.41,106.71,9.07,41.81,0.23
1155.50,26.16,86.40,2.41,105.98,9.05,41.29,0.24
1156.00,22.54,85.23,2.43,104.90,9.04,40.52,0.23
1156.50,22.17,80.15,2.44,103.17,9.04,39.30,0.22
1157.00,23.20,79.56,2.45,101.01,9.04,37.77,0.22
1157.50,23.85,76.92,2.47,98.99,9.03,36.34,0.21
1158.00,24.32,75.10,2.48,97.71,9.04,35.44,0.20
1158.50,24.86,71.13,2.50,97.65,9.04,35.39,0.19
1159.00,26.69,76.86,2.50,99.20,9.04,36.49,0.21
1159.50,30.86,85.11,2.48,102.61,9.04,38.90,0.23
1160.00,34.25,88.13,2.45,107.55,9.03,42.40,0.24
1160.50,31.84,102.19,2.41,112.44,9.04,45.86,0.28
1161.00,25.78,108.11,2.39,115.30,9.04,47.88,0.30
1161.50,22.98,97.88,2.38,115.71,9.04,48.17,0.27
1162.00,24.09,97.51,2.41,114.89,9.04,47.59,0.27
1162.50,25.43,100.84,2.46,114.13,9.04,47.05,0.28
1163.00,25.23,90.18,2.50,113.46,9.04,46.58,0.25
1163.50,24.15,73.02,2.53,111.46,9.04,45.16,0.20
1164.00,22.44,67.03,2.51,107.34,9.05,42.25,0.18
1164.50,20.99,73.09,2.48,103.03,9.07,39.20,0.20
1165.00,21.54,75.82,2.46,101.22,9.08,37.92,0.21
1165.50,23.90,81.91,2.44,102.43,9.08,38.78,0.22
1166.00,25.88,99.92,2.43,105.31,9.08,40.81,0.28
1166.50,27.07,108.27,2.41,108.28,9.04,42.91,0.30
1167.00,27.51,103.81,2.39,110.30,8.99,44.34,0.29
1167.50,27.08,98.88,2.38,111.03,8.94,44.86,0.27
1168.00,28.26,102.14,2.38,110.89,8.82,44.76,0.28
1168.50,31.48,108.87,2.40,110.78,8.72,44.68,0.30
1169.00,32.02,102.68,2.43,111.78,8.71,45.39,0.29
1169.50,27.97,99.32,2.44,114.41,8.71,47.25,0.28
1170.00,23.63,100.33,2.44,117.89,8.71,49.71,0.28
1170.50,23.23,103.12,2.43,121.01,8.70,51.92,0.29
1171.00,26.37,102.96,2.44,123.48,8.70,53.67,0.29
1171.50,29.60,103.47,2.47,125.62,8.71,55.18,0.29
1172.00,31.11,107.02,2.50,127.21,8.71,56.30,0.30
1172.50,31.71,102.99,2.50,127.10,8.71,56.22,0.29
1173.00,31.45,95.75,2.46,124.34,8.71,54.27,0.27
1173.50,30.14,102.72,2.40,119.86,8.71,51.10,0.29
1174.00,29.32,108.55,2.36,116.07,8.71,48.43,0.30
1174.50,30.73,104.74,2.36,114.51,8.71,47.32,0.29
1175.00,34.72,101.87,2.38,114.62,8.71,47.40,0.28
1175.50,39.32,107.48,2.39,115.04,8.71,47.69,0.30
1176.00,41.67,114.23,2.40,115.01,8.70,47.67,0.32
1176.50,37.78,117.59,2.40,114.49,8.68,47.30,0.33
1177.00,31.27,116.60,2.42,113.62,8.65,46.69,0.33
1177.50,28.50,106.75,2.45,112.54,8.65,45.93,0.30
1178.00,27.90,98.34,2.49,111.38,8.65,45.11,0.27
1178.50,25.75,93.03,2.50,110.34,8.65,44.37,0.26
1179.00,24.07,93.26,2.49,109.23,8.65,43.59,0.26
1179.50,25.34,95.18,2.44,107.77,8.65,42.56,0.26
1180.00,27.07,92.84,2.39,106.67,8.65,41.77,0.26
1180.50,27.81,91.30,2.36,107.14,8.64,42.11,0.25
1181.00,28.72,89.17,2.36,109.29,8.62,43.63,0.25
1181.50,28.96,93.27,2.39,111.90,8.58,45.48,0.26
1182.00,28.38,92.95,2.41,113.38,8.51,46.52,0.26
1182.50,27.90,92.85,2.40,112.96,8.48,46.22,0.26
1183.00,28.58,100.65,2.37,111.59,8.48,45.25,0.28
1183.50,32.47,110.07,2.35,110.86,8.48,44.74,0.31
1184.00,36.69,113.54,2.36,111.13,8.48,44.93,0.32
1184.50,34.68,108.53,2.38,111.63,8.48,45.28,0.30
1185.00,29.89,97.90,2.39,111.88,8.48,45.46,0.27
1185.50,29.72,89.43,2.40,112.06,8.49,45.58,0.25
1186.00,33.06,98.99,2.41,112.30,8.49,45.76,0.27
1186.50,34.46,103.61,2.44,112.20,8.49,45.69,0.29
1187.00,32.83,94.06,2.46,111.11,8.49,44.92,0.26
1187.50,29.68,84.56,2.47,108.99,8.49,43.42,0.23
1188.00,27.20,76.88,2.46,106.82,8.50,41.88,0.21
1188.50,27.60,82.53,2.45,106.05,8.51,41.34,0.23
1189.00,30.79,96.61,2.45,107.40,8.51,42.29,0.27
1189.50,34.52,100.53,2.45,109.81,8.51,43.99,0.28
1190.00,36.08,95.05,2.45,111.09,8.51,44.90,0.26
1190.50,34.70,89.47,2.45,110.20,8.51,44.27,0.25
1191.00,31.10,86.90,2.47,108.09,8.51,42.78,0.24
1191.50,28.15,89.35,2.50,105.96,8.53,41.27,0.25
1192.00,26.89,87.72,2.53,104.10,8.54,39.96,0.24
1192.50,25.97,77.21,2.53,102.78,8.55,39.02,0.21
1193.00,25.09,72.66,2.50,103.12,8.57,39.27,0.20
1193.50,25.17,81.85,2.44,106.24,8.64,41.47,0.22
1194.00,26.27,98.80,2.39,111.20,8.70,44.98,0.27
1194.50,27.50,110.54,2.37,115.30,8.77,47.88,0.31
1195.00,26.93,114.11,2.38,117.01,8.83,49.09,0.32
1195.50,25.00,110.25,2.41,117.53,8.87,49.45,0.31
1196.00,25.45,99.36,2.44,119.14,8.95,50.59,0.28
1196.50,28.54,90.37,2.44,122.73,9.18,53.13,0.25
1197.00,31.44,87.27,2.41,126.67,9.27,55.92,0.24
1197.50,35.34,89.63,2.37,128.11,9.44,56.94,0.25
1198.00,41.75,89.32,2.34,126.07,9.74,55.49,0.25
1198.50,45.60,94.98,2.34,122.60,9.67,53.04,0.26
1199.00,41.27,97.33,2.36,119.92,9.34,51.15,0.27
1199.50,34.94,93.33,2.40,117.65,9.20,49.54,0.26
1200.00,28.80,82.81,2.45,113.89,9.03,46.88,0.23
1200.50,24.04,70.39,2.48,107.97,8.82,42.70,0.19
1201.00,21.85,75.22,2.49,101.80,8.78,38.33,0.20
1201.50,22.02,84.00,2.49,98.33,8.78,35.88,0.23
1202.00,22.46,89.32,2.48,98.68,8.80,36.12,0.25
1202.50,22.51,94.90,2.46,101.53,8.84,38.14,0.26
1203.00,23.01,95.31,2.44,104.89,8.88,40.52,0.26
1203.50,23.55,100.05,2.44,107.44,8.91,42.32,0.28
1204.00,23.01,103.71,2.46,108.61,8.91,43.15,0.29
1204.50,22.60,97.58,2.48,108.22,8.91,42.87,0.27
1205.00,23.43,90.78,2.49,106.30,8.91,41.52,0.25
1205.50,23.54,85.73,2.48,103.29,8.91,39.38,0.24
1206.00,22.54,78.38,2.47,100.13,8.94,37.15,0.21
1206.50,22.96,76.74,2.45,97.81,9.02,35.51,0.21
1207.00,25.09,76.01,2.43,96.86,9.09,34.84,0.21
1207.50,27.45,75.15,2.42,97.30,9.09,35.15,0.20
1208.00,29.35,81.12,2.42,98.62,9.07,36.09,0.22
1208.50,30.08,85.88,2.44,100.09,8.95,37.12,0.24
1209.00,30.37,83.36,2.45,101.20,8.82,37.91,0.23
1209.50,31.05,79.74,2.46,101.79,8.77,38.32,0.22
1210.00,30.96,80.52,2.46,101.78,8.75,38.32,0.22
1210.50,30.02,80.92,2.45,101.27,8.74,37.96,0.22
1211.00,29.19,84.08,2.45,100.67,8.74,37.53,0.23
