DEPT,CNPOR,GR,RHOB,DT,MELCAL,SPOR,Vsh
1980.50,19.23,76.39,2.43,84.33,7.87,25.98,0.21
1981.00,18.60,81.44,2.41,84.01,7.88,25.75,0.22
1981.50,19.95,82.23,2.42,83.77,7.92,25.58,0.23
1982.00,21.80,69.24,2.45,82.50,7.79,24.68,0.19
1982.50,22.52,51.07,2.49,79.73,7.68,22.72,0.13
1983.00,22.33,35.91,2.48,76.22,7.61,20.24,0.09
1983.50,21.72,29.68,2.44,73.40,7.54,18.25,0.07
1984.00,21.70,26.85,2.38,72.26,7.53,17.44,0.06
1984.50,23.67,22.60,2.35,72.71,7.53,17.76,0.05
1985.00,26.03,21.67,2.34,74.00,7.53,18.67,0.05
1985.50,26.63,28.13,2.34,75.41,7.53,19.66,0.07
1986.00,26.22,38.70,2.34,76.64,7.55,20.53,0.10
1986.50,25.34,42.81,2.35,77.59,7.56,21.21,0.11
1987.00,24.39,40.14,2.39,78.08,7.55,21.56,0.10
1987.50,24.60,35.25,2.45,77.91,7.56,21.44,0.09
1988.00,25.91,38.04,2.49,77.20,7.56,20.93,0.10
1988.50,26.99,42.47,2.47,76.48,7.56,20.42,0.11
1989.00,27.73,40.55,2.42,76.36,7.56,20.34,0.10
1989.50,28.55,44.18,2.40,77.10,7.56,20.86,0.11
1990.00,27.97,50.06,2.43,78.46,7.57,21.82,0.13
1990.50,24.57,53.43,2.48,79.75,7.64,22.74,0.14
